dv,family,A,B,mean_A,mean_B,n_A,n_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,direction,p_holm,p_bh
OH3,clip-level,HA1,HA2,5.5964912280701755,5.495726495726496,38,39,0.10076473234367955,0.34545651210233863,-0.5763300313769042,0.7778594960642633,0.2916857225543597,0.7705269265063674,0.0845793276761794,-0.36238348096861295,0.5315421363209717,—,1.0,0.8812217318946729
OH3,clip-level,HA1,HA3,5.5964912280701755,5.138211382113821,38,41,0.458279845956354,0.3412730093344044,-0.21061525233907857,1.1271749442517867,1.3428540594234268,0.17931923466820832,0.32879997367510944,-0.11552070118723262,0.7731206485374515,—,1.0,0.6570649478415859
OH3,clip-level,HA1,A,5.5964912280701755,4.76851851851852,38,36,0.8279727095516561,0.35248848510139186,0.13709527875292815,1.5188501403503842,2.3489354817179153,0.018827168784410528,0.5249610864430814,0.061324247418845956,0.9885979254673167,HA1 > A,0.3953705444726211,0.3953705444726211
OH3,clip-level,HA2,HA3,5.495726495726496,5.138211382113821,39,41,0.35751511361267446,0.33899468159561097,-0.306914462314723,1.021944689540072,1.0546333999397568,0.2915930221199746,0.25501835898920316,-0.18516523923308997,0.6952019572114962,—,1.0,0.6570649478415859
OH3,clip-level,HA2,A,5.495726495726496,4.76851851851852,39,36,0.7272079772079766,0.35028311317992955,0.04065307537531471,1.4137628790406385,2.076057765406557,0.037888608723140926,0.45952366808406836,0.0005882969831781937,0.9184590391849585,HA2 > A,0.7577721744628185,0.3978303915929797
OH3,clip-level,HA3,A,5.138211382113821,4.76851851851852,41,36,0.3696928635953021,0.3461579473669073,-0.3087767132438362,1.0481624404344405,1.06798895246351,0.285525495184043,0.21299099541966432,-0.23594143460346217,0.6619234254427908,—,1.0,0.6570649478415859
CR3,clip-level,H1,H2,6.273504273504273,6.025641025641024,39,39,0.2478632478631459,0.23036143931430728,-0.20364517319289638,0.6993716689191882,1.0759754262733139,0.28193824668618794,0.252231638559306,-0.19338235490941452,0.6978456320280266,—,1.0,0.49810647699481514
CR3,clip-level,H1,H3,6.273504273504273,6.1083333333333325,39,40,0.16517094017083594,0.22891715272980806,-0.28350667917958783,0.6138485595212597,0.7215315156649181,0.470582557575843,0.17180444217740912,-0.27007815820176884,0.613687042556587,—,1.0,0.5429798741259727
CR3,clip-level,H1,HA1,6.273504273504273,5.8157894736842115,39,38,0.4577147998199564,0.23187202231505186,0.0032456360824547614,0.912183963557458,1.9739975321302232,0.04838202355982257,0.5549771062445993,0.09969643382536736,1.0102577786638312,H1 > HA1,0.5805842827178709,0.18143258834933465
CR3,clip-level,H1,HA2,6.273504273504273,5.786324786324788,39,39,0.48717948717938253,0.23036143931430722,0.03567106612334037,0.9386879082354247,2.114848251641068,0.03444288287655813,0.5198544197138275,0.0685671789766385,0.9711416604510166,H1 > HA2,0.44775747739525573,0.17221441438279064
CR3,clip-level,H1,HA3,6.273504273504273,5.601626016260163,39,41,0.671878257244006,0.2275348115375396,0.22591002663042836,1.1178464878575836,2.9528591809924296,0.0031484555241756886,0.6041622710728242,0.15587211459648498,1.0524524275491633,H1 > HA3,0.04722683286263533,0.04722683286263533
